id,"part_type",used_miles,"date_replaced","model",strava_user_id,"strava_bike_id","broken_worn","bike_type"
174,"bottom bracket",2240,"2025-03-27","unknown",32790300,"b10482015",NULL,NULL
175,"bottom bracket",2240,"2025-03-27","unknown",32790300,"b10482015",NULL,NULL
176,"brake bleed",3202,"2025-04-18","N/A",32790300,"b8722228",NULL,NULL
177,"sealant",4585,"2025-05-16","N/A",892461,"b15194529",NULL,NULL
178,"tires",467,"2025-05-16","unknown",892461,"b15194529",NULL,NULL
179,"sealant",2183,"2025-06-25","N/A",32790300,"b8722228",NULL,NULL
180,"brake pads",523,"2025-06-28","unknown",892461,"b15194529",NULL,NULL
181,"brake pads",21,"2025-06-28","unknown",892461,"b5734928",NULL,NULL
182,"sealant",20638,"2025-06-28","N/A",892461,"b5734928",NULL,NULL
190,"sealant",2847,"2025-07-28","N/A",32790300,"b8998999","worn_out",NULL
191,"chain",27,"2025-08-14","\"\"",136246506,"b15698192","broke",NULL
192,"sealant",20634,"2025-08-27","N/A",36778899,"b10084455","worn_out",NULL
193,"brake bleed",1556,"2025-08-27","N/A",36778899,"b10084455","worn_out",NULL
194,"front fork",1042,"2025-09-11","unknown",32790300,"b8722228","worn_out",NULL
256,"brake pads",1785,"2025-11-27","unknown",36778899,"b10084455","worn_out","Mountain"
257,"brake bleed",1785,"2025-11-27","N/A",36778899,"b10084455","worn_out","Mountain"
258,"sealant",4079,"2025-12-15","N/A",32790300,"b8722228","worn_out","Mountain"
259,"brake pads",902,"2025-12-16","unknown",136246506,"b15698192","worn_out","Bike"
260,"brake bleed",902,"2025-12-16","N/A",136246506,"b15698192","worn_out","Bike"
261,"sealant",5753,"2026-01-16","N/A",892461,"b15194529","worn_out","Mountain"
262,"chain",1602,"2026-01-16","Sram X01",892461,"b15194529","worn_out","Mountain"
263,"tires",1135,"2026-01-16","unknown",892461,"b15194529","worn_out","Mountain"
264,"front fork",1677,"2026-02-14","unknown",892461,"b15194529","worn_out","Mountain"
265,"rear shock",1677,"2026-02-14","unknown",892461,"b15194529","worn_out","Mountain"
266,"chainring",1677,"2026-02-14","unknown",892461,"b15194529","worn_out","Mountain"
267,"bottom bracket",1677,"2026-02-14","unknown",892461,"b15194529","worn_out","Mountain"
268,"sealant",4359,"2026-02-27","N/A",36778899,"b10084455","worn_out","Mountain"
269,"front fork",1039,"2026-03-05","unknown",136246506,"b15698192","worn_out","Ebike"
270,"brake pads",1039,"2026-03-05","unknown",136246506,"b15698192","worn_out","Ebike"
271,"brake bleed",1039,"2026-03-05","N/A",136246506,"b15698192","worn_out","Ebike"
272,"sealant",4412,"2026-03-05","N/A",136246506,"b16007612","worn_out","Sexy Enduro"
273,"sealant",1966,"2026-03-08","N/A",32790300,"b8722228","worn_out","Mountain"
274,"sealant",4558,"2026-03-08","N/A",141005730,"b16589690","worn_out","Bike"
275,"front fork",95,"2026-03-11","unknown",71558228,"b17061172","worn_out","Bike"
276,"sealant",0,"2026-03-11","unknown",71558228,"b17061172","worn_out","Bike"
277,"sealant",0,"2026-03-11","unknown",71558228,"b17061172","worn_out","Bike"
278,"front fork",0,"2026-03-11","unknown",71558228,"b17061172","worn_out","Bike"
279,"front fork",139,"2026-03-12","unknown",71558228,"b16795705","worn_out","Bike"
280,"sealant",0,"2026-03-12","unknown",71558228,"b17061172","worn_out","Bike"
281,"front fork",0,"2026-03-12","unknown",71558228,"b16795705","worn_out","Bike"
282,"sealant",27,"2026-03-12","unknown",36778899,"b10084455","worn_out","Bike"
283,"front fork",0,"2026-03-12","unknown",71558228,"b16795705","worn_out","Bike"
284,"chain",95,"2026-03-12","unknown",71558228,"b17061172","broke","Bike"
285,"chain",0,"2026-03-12","unknown",71558228,"b17061172","worn_out","Bike"
286,"bottom bracket",95,"2026-03-12","unknown",71558228,"b17061172","worn_out","Bike"
287,"front fork",0,"2026-03-12","unknown",71558228,"b16795705","worn_out","Bike"
288,"sealant",5315,"2026-03-13","unknown",32790300,"b16333634","worn_out","Bike"
289,"sealant",5648,"2026-03-21","N/A",32790300,"b8998999","worn_out","Mountain"
290,"tires",1039,"2026-03-21","unknown",136246506,"b15698192","worn_out","Ebike"
291,"chain",1102,"2026-04-23","unknown",136246506,"b15698192","worn_out","Ebike"
292,"cassette",1102,"2026-04-23","unknown",136246506,"b15698192","worn_out","Ebike"
293,"rear shock",1102,"2026-04-23","unknown",136246506,"b15698192","worn_out","Ebike"
